Movie Name,Movie Link
Persepolis,https://www.imdb.com/title/tt0808417/
Sleuth,https://www.imdb.com/title/tt0069281/
Sweet Smell of Success,https://www.imdb.com/title/tt0051036/
Andrei Rublev,https://www.imdb.com/title/tt0060107/
"Spring, Summer, Fall, Winter... and Spring",https://www.imdb.com/title/tt0374546/
Kind Hearts and Coronets,https://www.imdb.com/title/tt0041546/
Winter Sleep,https://www.imdb.com/title/tt2758880/
Dilwale Dulhania Le Jayenge,https://www.imdb.com/title/tt0112870/
Citizenfour,https://www.imdb.com/title/tt4044364/
The Virgin Spring,https://www.imdb.com/title/tt0053976/
The Road,https://www.imdb.com/title/tt0047528/
Throne of Blood,https://www.imdb.com/title/tt0050613/
Jodorowsky's Dune,https://www.imdb.com/title/tt1935156/
"Rome, Open City",https://www.imdb.com/title/tt0038890/
